,municipio,latitude,longitude,ddd,estado
0,Abadia de Goiás,-16.7573,-49.4412,62,GO
1,Abadia dos Dourados,-18.4831,-47.3916,34,MG
2,Abadiânia,-16.197,-48.7057,62,GO
3,Abaeté,-19.1551,-45.4444,37,MG
4,Abaetetuba,-1.72183,-48.8788,91,PA
5,Abaiara,-7.34588,-39.0416,88,CE
6,Abaíra,-13.2488,-41.6619,77,BA
7,Abaré,-8.72073,-39.1162,75,BA
8,Abatiá,-23.3049,-50.3133,43,PR
9,Abdon Batista,-27.6126,-51.0233,49,SC
10,Abel Figueiredo,-4.95333,-48.3933,94,PA
11,Abelardo Luz,-26.5716,-52.3229,49,SC
12,Abre Campo,-20.2996,-42.4743,31,MG
13,Abreu e Lima,-7.90072,-34.8984,81,PE
14,Abreulândia,-9.62101,-49.1518,63,TO
15,Acaiaca,-20.359,-43.1439,31,MG
16,Açailândia,-4.94714,-47.5004,99,MA
17,Acajutiba,-11.6575,-38.0197,75,BA
18,Acará,-1.95383,-48.1985,91,PA
19,Acarape,-4.22083,-38.7055,85,CE
20,Acaraú,-2.88769,-40.1183,88,CE
21,Acari,-6.4282,-36.6347,84,RN
22,Acauã,-8.21954,-41.0831,89,PI
23,Aceguá,-31.8665,-54.1615,53,RS
24,Acopiara,-6.08911,-39.448,88,CE
25,Acorizal,-15.194,-56.3632,65,MT
26,Acrelândia,-9.82581,-66.8972,68,AC
27,Acreúna,-17.396,-50.3749,64,GO
28,Açu,-5.58362,-36.914,84,RN
29,Açucena,-19.0671,-42.5419,33,MG
30,Adamantina,-21.682,-51.0737,18,SP
31,Adelândia,-16.4127,-50.1657,64,GO
32,Adolfo,-21.2325,-49.6451,17,SP
33,Adrianópolis,-24.6606,-48.9922,41,PR
34,Adustina,-10.5437,-38.1113,75,BA
35,Afogados da Ingazeira,-7.74312,-37.631,87,PE
36,Afonso Bezerra,-5.49229,-36.5075,84,RN
37,Afonso Cláudio,-20.0778,-41.1261,27,ES
38,Afonso Cunha,-4.13631,-43.3275,98,MA
39,Afrânio,-8.51136,-41.0095,87,PE
40,Afuá,-0.154874,-50.3861,91,PA
41,Agrestina,-8.45966,-35.9447,81,PE
42,Agricolândia,-5.79676,-42.6664,86,PI
43,Agrolândia,-27.4087,-49.822,47,SC
44,Agronômica,-27.2662,-49.708,47,SC
45,Água Azul do Norte,-6.79053,-50.4791,94,PA
46,Água Boa,-17.9914,-42.3806,33,MG
47,Água Boa,-14.051,-52.1601,66,MT
48,Água Branca,-5.88856,-42.637,86,PI
49,Água Branca,-7.51144,-37.6357,83,PB
50,Água Branca,-9.262,-37.938,82,AL
51,Água Clara,-20.4452,-52.879,67,MS
52,Água Comprida,-20.0576,-48.1069,34,MG
53,Água Doce,-26.9985,-51.5528,49,SC
54,Água Doce do Maranhão,-2.84048,-42.1189,98,MA
55,Água Doce do Norte,-18.5482,-40.9854,27,ES
56,Água Fria,-11.8618,-38.7639,75,BA
57,Água Fria de Goiás,-14.9778,-47.7823,62,GO
58,Água Limpa,-18.0771,-48.7603,64,GO
59,Água Nova,-6.20351,-38.2941,84,RN
60,Água Preta,-8.70609,-35.5263,81,PE
61,Água Santa,-28.1672,-52.031,54,RS
62,Aguaí,-22.0572,-46.9735,19,SP
63,Aguanil,-20.9439,-45.3915,35,MG
64,Águas Belas,-9.11125,-37.1226,87,PE
65,Águas da Prata,-21.9319,-46.7176,19,SP
66,Águas de Chapecó,-27.0754,-52.9808,49,SC
67,Águas de Lindóia,-22.4733,-46.6314,19,SP
68,Águas de Santa Bárbara,-22.8812,-49.2421,14,SP
69,Águas de São Pedro,-22.5977,-47.8734,19,SP
70,Águas Formosas,-17.0802,-40.9384,33,MG
71,Águas Frias,-26.8794,-52.8568,49,SC
72,Águas Lindas de Goiás,-15.7617,-48.2816,61,DF
73,Águas Mornas,-27.6963,-48.8243,48,SC
74,Águas Vermelhas,-15.7431,-41.4571,33,MG
75,Agudo,-29.6447,-53.2515,55,RS
76,Agudos,-22.4694,-48.9863,14,SP
77,Agudos do Sul,-25.9899,-49.3343,41,PR
78,Águia Branca,-18.9846,-40.7437,27,ES
79,Aguiar,-7.0918,-38.1681,83,PB
80,Aguiarnópolis,-6.55409,-47.4702,63,TO
81,Aimorés,-19.5007,-41.0746,33,MG
82,Aiquara,-14.1269,-39.8937,73,BA
83,Aiuaba,-6.57122,-40.1178,88,CE
84,Aiuruoca,-21.9736,-44.6042,35,MG
85,Ajuricaba,-28.2342,-53.7757,55,RS
86,Alagoa,-22.171,-44.6413,35,MG
87,Alagoa Grande,-7.03943,-35.6206,83,PB
88,Alagoa Nova,-7.05377,-35.7591,83,PB
89,Alagoinha,-6.94657,-35.5332,83,PB
90,Alagoinha,-8.4665,-36.7788,87,PE
91,Alagoinha do Piauí,-7.00039,-40.9282,89,PI
92,Alagoinhas,-12.1335,-38.4208,75,BA
93,Alambari,-23.5503,-47.898,15,SP
94,Albertina,-22.2018,-46.6139,35,MG
95,Alcântara,-2.39574,-44.4062,98,MA
96,Alcântaras,-3.58537,-40.5479,88,CE
97,Alcantil,-7.73668,-36.0511,83,PB
98,Alcinópolis,-18.3255,-53.7042,67,MS
99,Alcobaça,-17.5195,-39.2036,73,BA
100,Aldeias Altas,-4.62621,-43.4689,99,MA
101,Alecrim,-27.6579,-54.7649,55,RS
102,Alegre,-20.758,-41.5382,28,ES
103,Alegrete,-29.7902,-55.7949,55,RS
104,Alegrete do Piauí,-7.24196,-40.8566,89,PI
105,Alegria,-27.8345,-54.0557,55,RS
106,Além Paraíba,-21.8797,-42.7176,32,MG
107,Alenquer,-1.94623,-54.7384,93,PA
108,Alexandria,-6.40533,-38.0142,84,RN
109,Alexânia,-16.0834,-48.5076,62,GO
110,Alfenas,-21.4256,-45.9477,35,MG
111,Alfredo Chaves,-20.6396,-40.7543,27,ES
112,Alfredo Marcondes,-21.9527,-51.414,18,SP
113,Alfredo Vasconcelos,-21.1535,-43.7718,32,MG
114,Alfredo Wagner,-27.7001,-49.3273,48,SC
115,Algodão de Jandaíra,-6.89292,-36.0129,83,PB
116,Alhandra,-7.42977,-34.9057,83,PB
117,Aliança,-7.60398,-35.2227,81,PE
118,Aliança do Tocantins,-11.3056,-48.9361,63,TO
119,Almadina,-14.7089,-39.6415,73,BA
120,Almas,-11.5706,-47.1792,63,TO
121,Almeirim,-1.52904,-52.5788,93,PA
122,Almenara,-16.1785,-40.6942,33,MG
123,Almino Afonso,-6.1475,-37.7636,84,RN
124,Almirante Tamandaré,-25.3188,-49.3037,41,PR
125,Almirante Tamandaré do Sul,-28.1149,-52.9142,54,RS
126,Aloândia,-17.7292,-49.4769,64,GO
127,Alpercata,-18.974,-41.97,33,MG
128,Alpestre,-27.2502,-53.0341,55,RS
129,Alpinópolis,-20.8631,-46.3878,35,MG
130,Alta Floresta,-9.86674,-56.0867,66,MT
131,Alta Floresta D'Oeste,-11.9283,-61.9953,69,RO
132,Altair,-20.5242,-49.0571,17,SP
133,Altamira,-3.20407,-52.21,93,PA
134,Altamira do Maranhão,-4.16598,-45.4706,98,MA
135,Altamira do Paraná,-24.7983,-52.7128,44,PR
136,Altaneira,-6.99837,-39.7356,88,CE
137,Alterosa,-21.2488,-46.1387,35,MG
138,Altinho,-8.48482,-36.0644,81,PE
139,Altinópolis,-21.0214,-47.3712,16,SP
140,Alto Alegre,-21.5811,-50.168,18,SP
141,Alto Alegre,2.98858,-61.3072,95,RR
142,Alto Alegre,-28.7769,-52.9893,54,RS
143,Alto Alegre do Maranhão,-4.213,-44.446,99,MA
144,Alto Alegre do Pindaré,-3.66689,-45.8421,98,MA
145,Alto Alegre dos Parecis,-12.132,-61.835,69,RO
146,Alto Araguaia,-17.3153,-53.2181,66,MT
147,Alto Bela Vista,-27.4333,-51.9044,49,SC
148,Alto Boa Vista,-11.6732,-51.3883,66,MT
149,Alto Caparaó,-20.431,-41.8738,32,MG
150,Alto do Rodrigues,-5.28186,-36.75,84,RN
151,Alto Feliz,-29.3919,-51.3123,51,RS
152,Alto Garças,-16.9462,-53.5272,66,MT
153,Alto Horizonte,-14.1978,-49.3378,62,GO
154,Alto Jequitibá,-20.4208,-41.967,33,MG
155,Alto Longá,-5.25634,-42.2096,86,PI
156,Alto Paraguai,-14.5137,-56.4776,65,MT
157,Alto Paraíso,-26.1146,-52.7469,44,PR
158,Alto Paraíso,-9.71429,-63.3188,69,RO
159,Alto Paraíso de Goiás,-14.1305,-47.51,62,GO
160,Alto Paraná,-23.1312,-52.3189,44,PR
161,Alto Parnaíba,-9.10273,-45.9303,99,MA
